x,y,z
0.305536789,0.178819275,0.082488898
0.352143897,0.198782451,0.228361012
0.424823093,0.098407767,0.085233813
0.473134449,-0.002620996,-0.125359487
0.427274542,-0.071191259,-0.249004571
0.242929307,-0.118053548,-0.278652106
0.100123631,-0.278045372,-0.217487736
-0.043800965,-0.53425593,-0.250107564
-0.233360903,-0.608395517,-0.443563851
-0.390067276,-0.529044917,-0.495772762
-0.25895149,-0.39944297,-0.389428941
0.03197068,-0.381198288,-0.316080212
0.139883614,-0.436604534,-0.375748206
-0.002362711,-0.379746921,-0.374174089
-0.102110933,-0.27672143,-0.268705882
-0.09143201,-0.332307124,-0.200289348
-0.131693841,-0.377622768,-0.130859254
-0.217807031,-0.278575534,-0.100403325
-0.300695523,-0.223472071,-0.143680741
-0.33078101,-0.160942257,-0.108279757
-0.262398452,-0.016697452,-0.021158523
-0.073807214,-0.022198972,-0.007106617
-0.043221594,-0.049055415,0.034275779
-0.18594646,-0.124235451,0.131751234
-0.372007705,-0.166651867,0.20532968
-0.412419758,-0.114490887,0.163190328
-0.304140439,0.024931612,0.076525606
-0.113103707,0.165777422,0.05460019
0.070221903,0.25336452,0.21250001
0.218152483,0.315769831,0.441171403
0.322330322,0.36585985,0.5981167
0.380373893,0.311444953,0.660240271
0.33062202,0.246899708,0.595870382
0.182071189,0.140331431,0.394260015
-0.027226664,0.003707038,0.182358555
-0.222169318,-0.125555302,0.053607087
-0.231413276,-0.153261055,0.121643097
-0.118498077,-0.133396663,0.330709626
0.06591025,-0.102362058,0.505667549
0.19078462,-0.092144031,0.594917027
0.173977241,-0.096432083,0.620170711
0.026354448,-0.145108728,0.484077648
-0.062221223,-0.147767718,0.239631178
-0.048509106,-0.166416889,-0.059939213
-0.116805155,-0.129517776,-0.279985985
-0.13297241,-0.089158877,-0.337570744
-0.114132831,-0.09504852,-0.266649534
-0.106872448,-0.043085108,-0.121903209
-0.066902476,-0.018799978,0.036288288
-0.081294537,-0.013600655,0.210340787
-0.168166254,-0.02879764,0.336903804
-0.213055818,-0.011923078,0.396216994
-0.20785255,0.012986323,0.334874929
-0.258514487,0.006185411,0.182045251
-0.270446588,-0.003512977,0.051993222
-0.239887126,-0.018908114,-0.07597674
-0.13922336,0.016418635,-0.185590376
0.016214272,0.082457334,-0.259860896
0.131943432,0.15201953,-0.320225057
0.242385519,0.203821029,-0.273741538
0.27509372,0.150057875,-0.105088268
0.201773047,0.107185532,0.047960021
0.212970551,0.079644615,0.047870005
0.25116248,0.068074588,0.039393268
0.267185358,0.052333998,-0.039690205
0.210398179,0.047113633,-0.121799164
0.112647415,0.005413257,-0.107253337
0.023371633,-0.047176177,-0.100581604
0.030949923,-0.016855858,-0.084662151
0.08930172,0.0035574,-0.018211364
0.155418196,0.006499883,0.005613748
0.170106355,0.025125673,0.055020461
0.197621408,0.051717912,0.0851701
0.174174116,0.077353289,-0.030494507
0.141738119,0.097251583,-0.175750535
0.097118823,0.101474169,-0.288826879
0.131770888,0.162255678,-0.348190922
0.215717584,0.206819042,-0.33832127
0.26977183,0.192377844,-0.299697232
0.196435376,0.206889769,-0.205971485
0.073240191,0.131073773,-0.182594117
-0.025776246,0.040112815,-0.202253926
-0.085725323,-0.027626258,-0.222740249
-0.091029786,-0.126292969,-0.18836101
-0.112327718,-0.169969029,-0.029541152
-0.142248041,-0.167678872,0.106332715
-0.153083616,-0.164513101,0.065793199
-0.185165319,-0.117895143,-0.053249944
-0.162964191,-0.049172904,-0.174396197
-0.069166767,0.021348493,-0.211894446
-0.027575149,0.047157472,-0.179328978
-0.04823566,0.03036825,-0.084602529
-0.106889545,-0.006723171,0.012843699
-0.106742684,-0.057031216,0.064399115
